Czas,LO+,LO-,EKG
18:25:22.078,1,0,12
18:25:22.140,1,0,19
18:25:22.202,0,0,536
18:25:22.256,0,0,535
18:25:22.325,1,0,19
18:25:22.387,1,0,16
18:25:22.448,0,1,14
18:25:22.510,0,0,492
18:25:22.572,0,1,5
18:25:22.633,1,1,13
18:25:22.696,1,1,12
18:25:22.758,1,1,5
18:25:22.818,0,1,3
18:25:22.881,1,1,20
18:25:22.957,1,1,11
18:25:23.019,0,1,5
18:25:23.080,0,1,14
18:25:23.141,1,0,11
18:25:23.204,1,0,5
18:25:23.265,1,1,4
18:25:23.327,1,0,15
18:25:23.388,0,1,14
18:25:23.451,0,0,486
18:25:23.513,0,1,5
18:25:23.575,1,0,19
18:25:23.635,0,1,8
18:25:23.697,1,0,1
18:25:23.759,1,0,6
18:25:23.821,0,1,1
18:25:23.883,1,1,12
18:25:23.945,0,1,0
18:25:24.007,1,0,6
18:25:24.069,1,1,20
18:25:24.131,1,1,14
18:25:24.194,1,0,1
18:25:24.256,1,0,7
18:25:24.318,0,0,463
18:25:24.379,1,0,12
18:25:24.443,0,1,20
18:25:24.505,0,0,527
