Czas,LO+,LO-,EKG
18:09:06.880,1,0,6
18:09:06.943,1,0,2
18:09:07.004,0,0,524
18:09:07.068,0,1,6
18:09:07.143,1,1,7
18:09:07.204,0,1,19
18:09:07.266,1,1,0
18:09:07.326,1,0,8
18:09:07.389,1,1,8
18:09:07.443,1,0,15
18:09:07.510,1,1,16
18:09:07.572,0,1,17
18:09:07.634,0,0,565
18:09:07.695,0,1,5
18:09:07.758,0,0,543
18:09:07.820,0,1,11
18:09:07.881,0,0,493
18:09:07.944,0,0,467
18:09:08.006,0,1,11
18:09:08.069,0,1,5
18:09:08.130,0,0,560
18:09:08.193,1,0,12
18:09:08.257,1,1,16
18:09:08.332,0,0,458
18:09:08.395,0,0,473
18:09:08.471,1,1,13
18:09:08.533,0,1,0
18:09:08.595,0,1,16
18:09:08.656,0,0,537
18:09:08.721,0,1,10
18:09:08.781,1,1,20
18:09:08.843,0,0,502
18:09:08.906,1,1,3
18:09:08.968,0,0,569
18:09:09.031,1,1,20
18:09:09.093,1,0,17
18:09:09.154,1,1,2
18:09:09.216,0,1,10
18:09:09.277,0,1,15
18:09:09.339,0,1,1
18:09:09.401,0,0,459
18:09:09.464,1,0,7
18:09:09.524,0,1,2
18:09:09.585,0,1,14
